samp,cmpd_name,area,cmpd_type,samp_type,sal,conc
240108_Smp_30ppt_B,Anserine,NA,S,Smp,30,0
240108_Smp_30ppt_Blk,Anserine,NA,S,Smp,30,0
240108_Smp_35ppt_A,Anserine,NA,S,Smp,35,0
240108_Smp_35ppt_B,Anserine,NA,S,Smp,35,0
240108_Smp_35ppt_Blk,Anserine,53572,S,Smp,35,0
240108_Smp_40ppt_A,Anserine,NA,S,Smp,40,0
240108_Smp_40ppt_B,Anserine,NA,S,Smp,40,0
240108_Smp_40ppt_Blk,Anserine,67799,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,Anserine,357650208,S,Std,NA,4
240108_Std_4uMStdsMix2InH2O_2,Anserine,543559360,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Anserine,328076864,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,Anserine,424319264,S,Std,NA,4
240108_Poo_Syn_Full1,Arsenobetaine,NA,S,Poo,NA,0
240108_Poo_Syn_Full2,Arsenobetaine,NA,S,Poo,NA,0
240108_Poo_Syn_Full3,Arsenobetaine,NA,S,Poo,NA,0
240108_Poo_Syn_Half1,Arsenobetaine,NA,S,Poo,NA,0
240108_Poo_Syn_Half2,Arsenobetaine,NA,S,Poo,NA,0
240108_Poo_Syn_Half3,Arsenobetaine,NA,S,Poo,NA,0
240108_Smp_25ppt_A,Arsenobetaine,NA,S,Smp,25,0
240108_Smp_25ppt_B,Arsenobetaine,NA,S,Smp,25,0
240108_Smp_25ppt_Blk,Arsenobetaine,NA,S,Smp,25,0
240108_Smp_30ppt_A,Arsenobetaine,NA,S,Smp,30,0
240108_Smp_30ppt_B,Arsenobetaine,NA,S,Smp,30,0
240108_Smp_30ppt_Blk,Arsenobetaine,NA,S,Smp,30,0
240108_Smp_35ppt_A,Arsenobetaine,NA,S,Smp,35,0
240108_Smp_35ppt_B,Arsenobetaine,NA,S,Smp,35,0
240108_Smp_35ppt_Blk,Arsenobetaine,76946,S,Smp,35,0
240108_Smp_40ppt_A,Arsenobetaine,NA,S,Smp,40,0
240108_Smp_40ppt_B,Arsenobetaine,NA,S,Smp,40,0
240108_Smp_40ppt_Blk,Arsenobetaine,NA,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,Arsenobetaine,11501729792,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,Arsenobetaine,16449369088,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Arsenobetaine,13787023360,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Arsenobetaine,14379955200,S,Std,NA,4
240108_Poo_Syn_Full1,"Arsenobetaine, 13C2",4913816576,IS,Poo,NA,0
240108_Poo_Syn_Full2,"Arsenobetaine, 13C2",4728835584,IS,Poo,NA,0
240108_Poo_Syn_Full3,"Arsenobetaine, 13C2",4713234432,IS,Poo,NA,0
240108_Poo_Syn_Half1,"Arsenobetaine, 13C2",2715409152,IS,Poo,NA,0
240108_Poo_Syn_Half2,"Arsenobetaine, 13C2",2680548352,IS,Poo,NA,0
240108_Poo_Syn_Half3,"Arsenobetaine, 13C2",2740500224,IS,Poo,NA,0
240108_Smp_25ppt_A,"Arsenobetaine, 13C2",5614087168,IS,Smp,25,0
240108_Smp_25ppt_B,"Arsenobetaine, 13C2",5423740928,IS,Smp,25,0
240108_Smp_25ppt_Blk,"Arsenobetaine, 13C2",6119822848,IS,Smp,25,0
240108_Smp_30ppt_A,"Arsenobetaine, 13C2",5257441280,IS,Smp,30,0
240108_Smp_30ppt_B,"Arsenobetaine, 13C2",4985142272,IS,Smp,30,0
240108_Smp_30ppt_Blk,"Arsenobetaine, 13C2",6135801856,IS,Smp,30,0
240108_Smp_35ppt_A,"Arsenobetaine, 13C2",4030674688,IS,Smp,35,0
240108_Smp_35ppt_B,"Arsenobetaine, 13C2",3995998208,IS,Smp,35,0
240108_Smp_35ppt_Blk,"Arsenobetaine, 13C2",6057398784,IS,Smp,35,0
240108_Smp_40ppt_A,"Arsenobetaine, 13C2",4119632896,IS,Smp,40,0
240108_Smp_40ppt_B,"Arsenobetaine, 13C2",4020934400,IS,Smp,40,0
240108_Smp_40ppt_Blk,"Arsenobetaine, 13C2",5996763136,IS,Smp,40,0
240108_Poo_Syn_Full1,Betonicine,440312,S,Poo,NA,0
240108_Poo_Syn_Full2,Betonicine,680016,S,Poo,NA,0
240108_Poo_Syn_Full3,Betonicine,361327,S,Poo,NA,0
240108_Poo_Syn_Half1,Betonicine,688297,S,Poo,NA,0
240108_Poo_Syn_Half2,Betonicine,632554,S,Poo,NA,0
240108_Poo_Syn_Half3,Betonicine,390554,S,Poo,NA,0
240108_Smp_25ppt_A,Betonicine,645336,S,Smp,25,0
240108_Smp_25ppt_B,Betonicine,892280,S,Smp,25,0
240108_Smp_25ppt_Blk,Betonicine,1286679,S,Smp,25,0
240108_Smp_30ppt_A,Betonicine,2208717,S,Smp,30,0
240108_Smp_30ppt_B,Betonicine,1193017,S,Smp,30,0
240108_Smp_30ppt_Blk,Betonicine,476393,S,Smp,30,0
240108_Smp_35ppt_A,Betonicine,1395610,S,Smp,35,0
240108_Smp_35ppt_B,Betonicine,995179,S,Smp,35,0
240108_Smp_35ppt_Blk,Betonicine,1695614,S,Smp,35,0
240108_Smp_40ppt_A,Betonicine,753816,S,Smp,40,0
240108_Smp_40ppt_B,Betonicine,1225607,S,Smp,40,0
