samp,cmpd_name,bmis_area,sal,conc
240108_Poo_Syn_Full1,Carnosine,120833.77869937976,NA,0
240108_Poo_Syn_Full2,Carnosine,NA,NA,0
240108_Poo_Syn_Full3,Carnosine,NA,NA,0
240108_Poo_Syn_Half1,Carnosine,NA,NA,0
240108_Poo_Syn_Half2,Carnosine,NA,NA,0
240108_Poo_Syn_Half3,Carnosine,81817.70387355385,NA,0
240108_Smp_25ppt_A,Carnosine,NA,25,0
240108_Smp_25ppt_B,Carnosine,30871.143076143624,25,0
240108_Smp_25ppt_Blk,Carnosine,NA,25,0
240108_Smp_30ppt_A,Carnosine,NA,30,0
240108_Smp_30ppt_B,Carnosine,NA,30,0
240108_Smp_30ppt_Blk,Carnosine,NA,30,0
240108_Smp_35ppt_A,Carnosine,NA,35,0
240108_Smp_35ppt_B,Carnosine,NA,35,0
240108_Smp_35ppt_Blk,Carnosine,79355.37230003711,35,0
240108_Smp_40ppt_A,Carnosine,NA,40,0
240108_Smp_40ppt_B,Carnosine,105454.2138783423,40,0
240108_Smp_40ppt_Blk,Carnosine,22671.521888160165,40,0
240108_Std_4uMStdsMix2InH2O_1,Carnosine,NA,NA,4
240108_Std_4uMStdsMix2InH2O_2,Carnosine,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Carnosine,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,Carnosine,NA,NA,4
